No;MPG;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model Year;USA;Europe;Japan;;
146;28;-0.869348;-1.009459;-0.784052;-1.025303;-0.379759;-0.516397;0.774676;-0.465148;-0.495225;;
282;22.3;-0.869348;-0.530218;-0.442811;-0.118796;0.624102;0.84391;0.774676;-0.465148;-0.495225;;46.6
69;12;1.483887;1.482595;1.44714;1.736877;-0.738281;-1.060519;0.774676;-0.465148;-0.495225;;10
378;38;-0.869348;-0.865687;-1.099044;-1.025303;-0.308055;1.660094;0.774676;-0.465148;-0.495225;;
331;33.8;-0.869348;-0.942365;-0.994047;-1.001603;0.875068;1.115971;-1.286751;-0.465148;2.012852;;
257;19.4;0.30727;0.351586;-0.390312;0.260397;0.58825;0.571849;0.774676;-0.465148;-0.495225;;
310;38.1;-0.869348;-1.019044;-1.177792;-1.211344;1.161885;1.115971;-1.286751;-0.465148;2.012852;;
328;30;-0.869348;-0.472709;-0.994047;0.307796;2.237451;1.115971;-1.286751;2.143005;-0.495225;;
125;20;0.30727;0.025702;-0.259066;0.132419;0.337285;-0.516397;0.774676;-0.465148;-0.495225;;
108;20;-0.869348;-0.942365;-0.442811;-0.842816;1.233589;-0.788458;-1.286751;-0.465148;2.012852;;
55;27;-0.869348;-0.942365;-1.177792;-1.370131;1.233589;-1.33258;-1.286751;2.143005;-0.495225;;
212;16.5;1.483887;1.482595;1.972127;1.646819;-1.240212;0.027726;0.774676;-0.465148;-0.495225;;
234;24.5;-0.869348;-0.424785;-0.442811;-0.296542;0.158024;0.299787;0.774676;-0.465148;-0.495225;;
103;11;1.483887;1.961837;1.184647;2.37795;-0.55902;-0.788458;0.774676;-0.465148;-0.495225;;
289;16.9;1.483887;1.482595;1.315894;1.62312;-0.23635;0.84391;0.774676;-0.465148;-0.495225;;
355;33.7;-0.869348;-0.846517;-0.784052;-0.92458;-0.415611;1.388032;-1.286751;-0.465148;2.012852;;
276;21.6;-0.869348;-0.71233;0.265921;-0.231369;0.050467;0.571849;-1.286751;2.143005;-0.495225;;
75;14;1.483887;1.175881;1.184647;1.287771;-0.55902;-1.060519;0.774676;-0.465148;-0.495225;;
114;26;-0.869348;-0.932781;-0.390312;-0.859406;-0.021237;-0.788458;-1.286751;2.143005;-0.495225;;
305;28.4;-0.869348;-0.424785;-0.390312;-0.379491;0.158024;0.84391;0.774676;-0.465148;-0.495225;;
166;13;1.483887;1.022524;0.633411;0.211813;-1.276064;-0.244335;0.774676;-0.465148;-0.495225;;
134;16;0.30727;0.600791;0.134674;0.760457;0.875068;-0.516397;0.774676;-0.465148;-0.495225;;
60;20;-0.869348;-0.530218;-0.390312;-0.689954;1.41285;-1.060519;0.774676;-0.465148;-0.495225;;
386;25;0.30727;-0.13724;0.134674;-0.053622;0.301432;1.660094;0.774676;-0.465148;-0.495225;;
309;41.5;-0.869348;-0.932781;-0.757803;-1.002788;-0.308055;1.115971;-1.286751;2.143005;-0.495225;;
38;14;1.483887;1.482595;1.578387;1.444188;-1.276064;-1.33258;0.774676;-0.465148;-0.495225;;
340;25.8;-0.869348;-0.376861;-0.337814;-0.438739;-0.415611;1.388032;0.774676;-0.465148;-0.495225;;
255;25.1;-0.869348;-0.530218;-0.442811;-0.320242;-0.057089;0.571849;0.774676;-0.465148;-0.495225;;
169;20;0.30727;0.351586;-0.127819;-0.090356;0.158024;-0.244335;0.774676;-0.465148;-0.495225;;
66;17;1.483887;1.041693;1.184647;0.807856;-1.455325;-1.060519;0.774676;-0.465148;-0.495225;;
123;20;0.30727;-0.376861;0.449666;-0.217149;-0.738281;-0.788458;-1.286751;-0.465148;2.012852;;
358;31.6;-0.869348;-0.721914;-0.810302;-0.420965;0.982624;1.388032;-1.286751;-0.465148;2.012852;;
77;22;-0.869348;-0.71233;-0.757803;-0.567902;0.875068;-1.060519;-1.286751;2.143005;-0.495225;;
142;26;-0.869348;-1.114892;-0.994047;-1.217269;-0.021237;-0.516397;-1.286751;2.143005;-0.495225;;
164;21;0.30727;0.342001;0.134674;0.057766;-0.200498;-0.244335;0.774676;-0.465148;-0.495225;;
318;29.8;-0.869348;-0.587727;-0.390312;-0.330907;-0.021237;1.115971;-1.286751;-0.465148;2.012852;;
53;31;-0.869348;-1.191571;-1.046546;-1.442415;1.233589;-1.33258;-1.286751;-0.465148;2.012852;;
91;13;1.483887;1.961837;1.184647;1.746357;-1.276064;-0.788458;0.774676;-0.465148;-0.495225;;
188;16;1.483887;1.175881;1.184647;1.421674;-0.917542;0.027726;0.774676;-0.465148;-0.495225;;
6;14;1.483887;2.479417;3.0221;1.61601;-2.35163;-1.604642;0.774676;-0.465148;-0.495225;;
1;15;1.483887;1.482595;1.578387;0.83274;-1.455325;-1.604642;0.774676;-0.465148;-0.495225;;
329;44.6;-0.869348;-0.999874;-0.994047;-1.351171;-0.630725;1.115971;-1.286751;-0.465148;2.012852;;
319;31.3;-0.869348;-0.721914;-0.784052;-0.531168;0.695807;1.115971;-1.286751;-0.465148;2.012852;;
136;16;1.483887;1.022524;0.922154;1.36361;-0.55902;-0.516397;0.774676;-0.465148;-0.495225;;
233;29;-0.869348;-0.942365;-0.705304;-1.244523;-0.379759;0.299787;-1.286751;2.143005;-0.495225;;
232;16;1.483887;1.49218;1.158398;1.593495;-0.379759;0.299787;0.774676;-0.465148;-0.495225;;
371;29;-0.869348;-0.578142;-0.547808;-0.551312;0.158024;1.660094;0.774676;-0.465148;-0.495225;;
137;13;1.483887;1.482595;1.184647;2.024827;-0.379759;-0.516397;0.774676;-0.465148;-0.495225;;
221;17.5;1.483887;1.051278;1.053401;1.054331;-1.096803;0.299787;0.774676;-0.465148;-0.495225;;
107;18;0.30727;0.351586;-0.127819;-0.238478;-0.200498;-0.788458;0.774676;-0.465148;-0.495225;;
148;26;-0.869348;-0.760254;-0.784052;-0.881921;-0.55902;-0.516397;-1.286751;2.143005;-0.495225;;
10;15;1.483887;1.798895;1.709634;0.678693;-1.993108;-1.604642;0.774676;-0.465148;-0.495225;;
26;10;1.483887;1.070448;2.497114;1.642079;-0.200498;-1.604642;0.774676;-0.465148;-0.495225;;
46;22;-0.869348;-0.530218;-0.8628;-0.689954;1.233589;-1.33258;0.774676;-0.465148;-0.495225;;
317;34.3;-0.869348;-0.942365;-0.705304;-0.950649;0.086319;1.115971;-1.286751;2.143005;-0.495225;;
360;30.7;0.30727;-0.482294;-0.757803;0.201148;1.448703;1.388032;-1.286751;2.143005;-0.495225;;
365;20.2;0.30727;0.044872;-0.442811;0.08265;0.552398;1.388032;0.774676;-0.465148;-0.495225;;
192;22;0.30727;0.524113;0.003427;0.429848;-0.379759;0.027726;0.774676;-0.465148;-0.495225;;
181;33;-0.869348;-0.999874;-1.361538;-1.416345;0.695807;-0.244335;-1.286751;-0.465148;2.012852;;
61;21;-0.869348;-0.702745;-0.49531;-0.90562;0.337285;-1.060519;0.774676;-0.465148;-0.495225;;
15;22;0.30727;0.025702;-0.259066;-0.186339;-0.021237;-1.604642;0.774676;-0.465148;-0.495225;;
147;24;-0.869348;-1.009459;-0.784052;-1.045447;-0.021237;-0.516397;-1.286751;2.143005;-0.495225;;
278;31.5;-0.869348;-1.019044;-0.88905;-1.185275;-0.23635;0.571849;-1.286751;2.143005;-0.495225;;
5;15;1.483887;2.239797;2.444615;1.600605;-1.993108;-1.604642;0.774676;-0.465148;-0.495225;;
79;26;-0.869348;-0.95195;-0.941548;-0.949464;0.875068;-1.060519;-1.286751;2.143005;-0.495225;;
161;16;0.30727;0.524113;0.003427;1.074476;1.054328;-0.244335;0.774676;-0.465148;-0.495225;;
7;14;1.483887;2.34523;2.890853;1.566241;-2.530891;-1.604642;0.774676;-0.465148;-0.495225;;
368;27;-0.869348;-0.798593;-0.442811;-0.41504;1.090181;1.660094;0.774676;-0.465148;-0.495225;;
20;25;-0.869348;-0.817763;-0.46906;-0.377121;0.695807;-1.604642;-1.286751;2.143005;-0.495225;;
324;40.8;-0.869348;-1.057383;-1.046546;-1.043077;1.305294;1.115971;-1.286751;-0.465148;2.012852;;
248;36.1;-0.869348;-0.999874;-1.177792;-1.41042;0.301432;0.571849;-1.286751;-0.465148;2.012852;;
266;30;-0.869348;-0.932781;-0.967798;-0.989754;0.337285;0.571849;0.774676;-0.465148;-0.495225;;
286;17.6;1.483887;1.022524;0.633411;0.87066;-0.774133;0.84391;0.774676;-0.465148;-0.495225;;
223;15.5;1.483887;1.175881;1.053401;1.362425;-0.666577;0.299787;0.774676;-0.465148;-0.495225;;
101;23;0.30727;0.025702;-0.259066;-0.102206;0.158024;-0.788458;0.774676;-0.465148;-0.495225;;
65;14;1.483887;1.49218;1.263395;1.34939;-0.917542;-1.060519;0.774676;-0.465148;-0.495225;;
56;26;-0.869348;-0.999874;-0.915299;-1.226749;1.771372;-1.33258;0.774676;-0.465148;-0.495225;;
262;19.2;1.483887;1.051278;1.053401;0.515167;-0.845838;0.571849;0.774676;-0.465148;-0.495225;;
216;31.5;-0.869348;-0.932781;-0.967798;-1.120101;1.054328;0.299787;-1.286751;-0.465148;2.012852;;
220;33.5;-0.869348;-1.057383;-0.915299;-1.238599;0.444841;0.299787;-1.286751;-0.465148;2.012852;;
256;20.5;0.30727;0.284492;-0.127819;0.521092;0.58825;0.571849;0.774676;-0.465148;-0.495225;;
301;34.2;-0.869348;-0.865687;-0.915299;-0.93643;-0.845838;0.84391;0.774676;-0.465148;-0.495225;;
193;24;0.30727;0.044872;-0.626556;0.025771;0.731659;0.027726;0.774676;-0.465148;-0.495225;;
57;24;-0.869348;-0.789008;-0.259066;-0.844001;-0.021237;-1.060519;-1.286751;-0.465148;2.012852;;
8;14;1.483887;2.489002;3.153347;1.700143;-1.993108;-1.604642;0.774676;-0.465148;-0.495225;;
300;23.9;1.483887;0.619961;-0.390312;0.509242;2.38086;0.84391;0.774676;-0.465148;-0.495225;;
173;24;-0.869348;-0.731499;-0.206567;-0.527613;0.516546;-0.244335;-1.286751;-0.465148;2.012852;;
357;32.9;-0.869348;-0.731499;-0.127819;-0.444664;-0.272203;1.388032;-1.286751;-0.465148;2.012852;;
303;31.8;-0.869348;-1.057383;-1.046546;-1.149725;1.305294;0.84391;-1.286751;-0.465148;2.012852;;
243;21.5;-1.457657;-1.105307;0.134674;-0.320242;-0.738281;0.299787;-1.286751;-0.465148;2.012852;;
236;25.5;-0.869348;-0.530218;-0.416562;-0.278768;0.086319;0.299787;0.774676;-0.465148;-0.495225;;
64;15;1.483887;1.175881;1.184647;1.3565;-0.738281;-1.060519;0.774676;-0.465148;-0.495225;;
242;21.5;-0.869348;-0.71233;0.134674;-0.462439;-0.989246;0.299787;-1.286751;2.143005;-0.495225;;
152;19;0.30727;0.284492;-0.259066;0.324385;0.158024;-0.244335;0.774676;-0.465148;-0.495225;;
387;38;0.30727;0.639131;-0.521559;0.029326;0.516546;1.660094;0.774676;-0.465148;-0.495225;;
82;23;-0.869348;-0.721914;-0.206567;-0.573827;-0.379759;-1.060519;-1.286751;-0.465148;2.012852;;
345;35.1;-0.869348;-1.095723;-1.177792;-1.457819;0.193876;1.388032;-1.286751;-0.465148;2.012852;;
178;23;-0.869348;-0.721914;-0.442811;-0.039402;0.516546;-0.244335;-1.286751;2.143005;-0.495225;;
144;31;-0.869348;-1.143647;-1.387787;-1.589352;0.337285;-0.516397;-1.286751;-0.465148;2.012852;;
247;39.4;-0.869348;-1.057383;-0.915299;-1.090477;1.090181;0.571849;-1.286751;-0.465148;2.012852;;
295;35.7;-0.869348;-0.932781;-0.652806;-1.274148;-0.415611;0.84391;0.774676;-0.465148;-0.495225;;
277;16.2;0.30727;-0.309767;0.738409;0.497392;0.086319;0.571849;-1.286751;2.143005;-0.495225;;
135;18;0.30727;0.284492;0.003427;0.737942;0.337285;-0.516397;0.774676;-0.465148;-0.495225;;
34;16;0.30727;0.284492;0.003427;0.531756;-0.021237;-1.33258;0.774676;-0.465148;-0.495225;;
376;37;-0.869348;-0.999874;-0.967798;-1.1438;0.946772;1.660094;-1.286751;-0.465148;2.012852;;
35;17;0.30727;0.524113;-0.127819;0.401409;-0.021237;-1.33258;0.774676;-0.465148;-0.495225;;
201;18.5;0.30727;0.524113;0.134674;0.775861;0.229728;0.027726;0.774676;-0.465148;-0.495225;;
98;16;0.30727;0.524113;-0.127819;0.340975;0.875068;-0.788458;0.774676;-0.465148;-0.495225;;
86;14;1.483887;1.041693;1.184647;0.807856;-1.455325;-0.788458;0.774676;-0.465148;-0.495225;;
249;19.9;1.483887;0.619961;0.134674;0.444068;-0.021237;0.571849;0.774676;-0.465148;-0.495225;;
183;25;-0.869348;-0.760254;-0.626556;-0.91273;0.480693;0.027726;-1.286751;2.143005;-0.495225;;
285;17;1.483887;1.051278;0.659661;1.006932;-0.057089;0.84391;0.774676;-0.465148;-0.495225;;
389;22;0.30727;0.351586;0.187173;-0.183969;-0.308055;1.660094;0.774676;-0.465148;-0.495225;;
217;30;-0.869348;-0.808178;-0.652806;-0.989754;-0.272203;0.299787;0.774676;-0.465148;-0.495225;;
361;25.4;0.30727;-0.261843;0.29217;-0.106946;-1.060951;1.388032;-1.286751;-0.465148;2.012852;;
109;21;-0.869348;-0.530218;-0.8628;-0.698249;1.41285;-0.788458;0.774676;-0.465148;-0.495225;;
47;19;0.30727;0.524113;-0.127819;0.345715;-0.200498;-1.33258;0.774676;-0.465148;-0.495225;;
381;36;-0.869348;-0.846517;-0.784052;-0.930505;-0.379759;1.660094;-1.286751;-0.465148;2.012852;;
252;19.2;0.30727;0.342001;0.003427;0.645514;1.305294;0.571849;0.774676;-0.465148;-0.495225;;
283;20.2;0.30727;0.351586;-0.390312;0.32557;0.946772;0.84391;0.774676;-0.465148;-0.495225;;
74;13;1.483887;1.022524;0.922154;1.544911;0.158024;-1.060519;0.774676;-0.465148;-0.495225;;
139;14;1.483887;1.022524;0.922154;1.952543;0.158024;-0.516397;0.774676;-0.465148;-0.495225;;
379;36;-0.869348;-0.932781;-0.915299;-1.025303;0.624102;1.660094;0.774676;-0.465148;-0.495225;;
254;20.2;0.30727;0.044872;-0.521559;-0.029923;0.086319;0.571849;0.774676;-0.465148;-0.495225;;
198;33;-0.869348;-0.999874;-1.361538;-1.416345;0.659954;0.027726;-1.286751;-0.465148;2.012852;;
29;27;-0.869348;-0.942365;-0.442811;-1.019378;-0.379759;-1.33258;-1.286751;-0.465148;2.012852;;
284;20.6;0.30727;0.284492;0.134674;0.438143;0.373137;0.84391;0.774676;-0.465148;-0.495225;;
356;32.4;-0.869348;-0.836932;-0.784052;-0.758683;0.444841;1.388032;-1.286751;-0.465148;2.012852;;
52;30;-0.869348;-1.028629;-0.757803;-1.096401;-0.379759;-1.33258;-1.286751;2.143005;-0.495225;;
332;29.8;-0.869348;-1.019044;-1.125294;-1.357096;-0.092942;1.115971;-1.286751;2.143005;-0.495225;;
348;37.7;-0.869348;-1.019044;-1.125294;-1.114176;0.624102;1.388032;-1.286751;-0.465148;2.012852;;
